barnnásis	bárnnásis
árgumentasjåvnnå	argumentasjåvnnå
roallaståhkusa	rollaståhkusa
roallaståhkusij	rollaståhkusij
roallaståhkusijt	rollaståhkusijt
arvusmáhteduvvat	arvusmahteduvvat
diktajt	divtajt
diktajn	divtajn
jasskidit	jaskijdit
jaskiduvvat	jaskijduvvat
jårggalimbargov	jårggålimbargov
buoremusláhkáj	buoremus láhkáj
gåktugirjjetjálle	gåktu girjjetjálle
grámátihkkagirjijt	grammatihkkagirjijt
gæhttjaladdatvájkkudimnævoj	gæhttjaladdat vájkkudimnævoj
ietjasamáhtukvuodav	ietjasa máhtukvuodav
tjieggŋodibma	tjiegŋodibme	
'am	ham
400 jage-ávvudallama	400-jageávvudallama
Ahttje	Áhttje
ajn	ájn
Ajnas	Ájnas
almma-ulmusj	almmaulmusj
almma-ulmutja	almmaulmutja
Almmulasj	Almulasj
Alu	Álu
Amen	amen
Amenav	amenav
Areopagaj	Areopagosaj
Arrat	Árrat
artemistiemmpelijt	Artemistiemmpelijt
Arvvedahtte	Árvvedahtte
Avos	Ávos
avtagärddasattjajt	avtagärddásattjajt
bakku	bággo
Barggibelludagá	Barggijbelludagá
berrahijdat	berrahijdát
biejsttemis	biejsstemis
biestin	biesstin
Biethtár	Biehtár
buohtusattjan	buohtasadtjan
báhtjáv	báhtjav
Bárnam	Bárnám
Bárnnam	Bárnnám
CD - singelav	CD-singelav
CD-aj	CD:j
CD-ajn	CD:jn
CD-an	CD:n
CD-as	CD:s
CD-av	CD:v
Dakkavidi	Dakkavide
Dearnán	Dærnán
Demografia	Demografija
de:Legus	de: Le gus
Didjiv	Didjij
Diehtebihtet	Diehtebihtit
diet	diehti
Dijav	Dijáv
dievnárises	dievnárases
Doajmmasiebbre	Doajmmasiebrre
Doarroajvve	Doarrooajvve
Duobmogirkkon	Duobbmogirkkon
Duornnulieges	Duornoslieges
duorrádalli	doarrádalli
Dutkámráde	Dutkamráde
dábbilij	dábbelij
Dájddá	Dájdda
Dájddávuosádus	Dájddavuosádus
Dájnas	Dajnas
Dálvvehávskkudahka	Dálvvehávskkudahka
däjvádallin	däjvadallin
dållåja	dållå ja
Epafroditosvieljav	Epafroditos-vieljav
Euorohpás	Eurohpás
Fariseaja	Fariseaj
Fileto	Filetos
Fuosskos	Fuoskos
Gadjá	Gádjá
Gajusgärrásij	Gajus-gärrásij
gall'	galla
garvvidum	gárvvidum
gaska-biejvev	gasskabiejvev
Gasskanordlánda	Gasska-Nordlánda
Gatsaj	Gahtsaj
Gejr-áddjá	Gejrá-áddjá
Gejr-ádjá	Gejrá-ádjá
Gejrááddjá	Gejrá-áddjá
Gierrisijnh	Gierrisijn
Giesseajen	Giessesajen
gudil ihpit	gudi lihpit
Gudil ihpit	Gudi lihpit
guoddamlimoarev	guoddalimoarev
guovtelåktuvsánijn	guoktelåktuvsánijn	!sub?
Guoradallamvidnudahka	Guoradallamviddnudahka
Guovtelåkgietjajagák	guoktalåkgietjajagák	!sub? guovtetjuodejagák guovteduhátgietjajagák
Gáddj-ibme	Gáddjá-ibme
Gáddj-ime	Gáddjá-ime
Gáddjibme	Gáddjá-ibme
Gáresavvuna	Gárasavvuna
gässtá	gässta
gåsuv	gå suv
haddidin	háddidin
Harrok-I∫∫gá	Harrok-Iŋŋgá
Hudjámásån	Hudjá má sån
Hálit	Hálijt
Hásstálus	Hásstalus
häjtanissan	häjttanissan
härráJesusKristusa	härrá Jesus Kristusa
Iavllá	javllá
Ibb-áhkko	Ibbá-áhkko
Ibb-áhko	Ibbá-áhko
Ibb-áhkov	Ibbá-áhkov
Ibbáhkko	Ibbá-áhkko
idiedis	idedis
Iesh	Iesj
ieŋŋgilas	ieŋŋgilis
illä	illa
Insituhtta	Instituhtta
Italián	Italian
Iññgá	Iŋŋgá
Jieg∫ahállan	Jiegŋahállan
jiermmálattjat	jiermálattjat
Jonatas	Johannes
Juobbmuj	Juobmuj
Jusska	Juska
jähttá	jahttá
Jårgit	Jårgijt
Jönsson-rávgge	Jönsson-rávkke
Kaloj Limenes	Kaloi Limenes
Komvux´ajn	Komvux:jn
Kárásjågås	Kárásjjågås
Kärrstadtijn	Kärrstedtajn
Leastadiana	Laestadiána
lesj iebtjes	le sjiebtjes
Lettji	Littji
Listárjjusa	Listárjjusá
Lufoahttaj	Lofoahttaj
Lágñasa	Lágŋasa
Lágñasin	Lágŋasin
Láttáj duvvin	Láttájduvvin
Lávvotideda	Lávvodakideda
Lågenan niellja	Lågenanniellja
Låggñi	Låggŋi
Låñojma	Låŋojma
lä	la
maksam	máksám
Marainens sameslöjd och silver	Marainens Sameslöjd & Silver
Mañela	Maŋŋela
Mañemus	Maŋemus
Mañep	Maŋep
Maññelasj	Maŋŋelasj
Ma∫emus	Maŋemus
Media	Medija
Miehttjejávrráj	Miehttsejávrráj
Miellagiddivasj	Miellagiddevasj
Mihttsamárá	Mihttsamára
Mobilteknologia	Mobilteknologija
Muhttijin	Muhttijn
málás	máles
mälggadáv	mälggadav
nammma	namma
narri	nárri
Nasjonalalasj	Nasjonálalasj
Njålgidij	Njålgijdij
Nuoadehierge	Noadehierge
Nuortjávres	Nuorttajávres
Nystøa	Nystø
Násjonálalasj	Nasjonálalasj
Ofoahtá	Ofuohtá
Porsánngus	Porsáŋgus
Prix´an	Prixan
Programmastivrra	Prográmmastivrra
rajggána	rájggána
Relevanta	Relevánnta
Samij	Sámij
Sasnebåvså	Sassnebåvså
siepten	sieppten
Silddá	Silldá
Sosialdemokráta	Sosialdemokráhta
Sosialdemokrátaj	Sosialdemokráhtaj
Spánjan	Spánian
Stockholmmaj	Stockholmaj
Stora tigern	Stora Tigern
strategiajs	strategijajs
strategiajt	strategijajt
stuorrafámiljan	stuorrafamiljan
subttsasværált	subtsasværált
Sunn-ibme	Sunná-ibme
Sunn-ibmes	Sunná-ibmes
Sunn-ime	Sunná-ime
Sunn-áhkko	Sunná-áhkko
Sunn-áhko	Sunná-áhko
Sunn-áhkon	Sunná-áhkon
Suoggñoajvve	Suoggŋooajvve
Suogñaba	Suogŋaba
Suoñaj	Suoŋaj
Suoñajga	Suoŋajga
suptjas	suptsas
suptjastin	suptsastin
Sverigin	Svierigin
SÅG:aj	SÅG:j
SÅG:an	SÅG:n
SÅGa	SÅG
SÅGan	SÅG:n
SÅGav	SÅG:v
Sálto Sámesiebrre-NSRa	Sálto Sámesiebrre-NSR
SámeNet	SameNet
Sámeminisstar	Sámeministar
Sámeminisstara	Sámeministara
Såppijin	Såppijn
Tiemátalasj	Tiemáhtalasj
Timoteosvieljastimme	Timoteos-vieljastimme
Tjadne	Tjaddne
Tjoaskojmá	Tjoaskojma
tjágñal	tjágŋal
Tjágñalij	Tjágŋalij
tjátjijna	tjátjijn
Tjáñada	Tjáŋada
Tjáñadastijma	Tjáŋadastijma
Tjáñajga	Tjáŋajga
tjáñáj	tjáŋaj
Tromså	Tråmså
Ulljonjosskidam	Ulljonjuosskadim
Vajkkudimnævvon	Vájkkudimnævvon
Vajsán	Vájsán
Vallboan	Vallbon
Vijdábut	Vijddábut
Vijnagárddeniehkke	Vijnnagárddeniehkke	
Visbyan	Visbyn
Vuojñadastijga	Vuojŋadastijga
Vuoj∫∫anis	Vuojŋŋanis
Vuojŋŋánisá	Vuojŋŋanisá
Vuojŋŋánisá	Vuojŋŋanisá
Vuoll-áddjá	Vuollá-áddjá
Vuollááddjá	Vuollá-áddjá
Vuorddujuvvam	Vuordeduvvam
Váhtera	Váhtjera
Vákkvársijddaga	Vákkvársijdaga	
Vátte	Vatte
adnam	adnám
adne	addne
ahpárav	ähpárav
aht	ahte
ajge	ájge
ajnegis	ájnegis
aktanbarggat	aktan barggat
aktijdiddje	aktididdje
aktijdiddje	aktididdje
aktijdum	aktidum
aktijsasjbarggo	aktisasjbarggo
aktisahttjat	aktisattjat
aktisasattjat	aktisattjat
algadit	álgadit
alkoholav	alkohåvlåv
alladássásasj	alladásálasj
allasiská	allasiska
allerika	allerijkka
allmukjuohkusij	álmmukjuohkusij
almasja	almatja
almmugij	álmmugij
almmugijn	álmmugijn
almmulasj	almulasj
almmulasjvuoda	almulasjvuoda
almmulasjvuohta	almulasjvuohta
almmulasjvuohtaj	almulasjvuohtaj
almmulattjat	almulattjat
alásbielen	alusjbielen
amávva	smávva
ani	åni
arbbedábálasj	árbbedábálasj
arvusmahtet	arvusmahttet
arálajt	areálajt
assimiliserimhiståvrråj	assimilerimhiståvrråj
assimiliserimpolitihkka	assimilerimpolitihkka
assjijda	ássjijda
asstoájggeårdnik	asstoájggeårnik
atsåjga	åtsåjga
avtje	avtse
bagadalle	bagádalle
bahtaguorstielas	báhtaguorstielas
bakkuj	bákkoj
bakttelåbddåj	báktelåbddåj
bale	bále
balges	bálges
bargga	barggá
barggomárknánij	barggomárkknánij
bastidieva	bassti dievav
belij	bielij
belijt	bielijt
bernna	biernna
berrahijsá	berrahisá
berri	bierri
berustáhtek	berustahtek
biebbmojt	biebmojt
biehtár	Biehtár
biellebalduk	biellebálduk
biellenubjáhke	biellenupjahke	
bielljebielli	bielljebielle
biktiasijt	biktasijt
bilkkedáhtji	bilkkedahtji
birássuoddjim-ministtar	birássuoddjimministar
bivddam	bivddám
bjelt	bajelt
boadnásj	boadnjásj
boahhteájgen	boahtteájgen
boahta	boahtá
boasstovuoda	boastovuoda
boattsujt	boahttsujt
budsjehtarámma	budsjæhttarámma
buogñaj	buogŋaj
buogñaniestes	buogŋaniestes
buohtastáhtá	buohtastahttá
buolvvamålssåmij	buolvvamålssomij
buoredut	buorebut
buorissjivvnjedij	buorissjivnnjedij
buoñajs	buoŋajs
báhkobåndudagáv	báhkoboanndudagáv
báhkobåndudahka	báhkoboanndudahka
báktjáju	báktju
báldojga	bálltojga
bálkaj	bálgaj
bálkkáv	bálkáv
bállagáhttiv	bállagahttiv
bánnka	báŋŋka
bárnijna	bárnijn
básska	basska
bátsán	bátsan
båhttålij	båhtålij
båldojga	båltojga
båldojma	båltojma
båndorij	bånndurij
bårgidij	bårgijdij
båtijma	båtjijma
båttåtj	båttåsj
dabegis	dábek
dabridam	dabrridam
dagadam	dagádam
daguduodje	dahkoduodje
dagáduvvisá	dagáduvvisa
dahka	dahká
dahkatvuodov	dahkat vuodov
dakkavidi	dakkavide
dalutjis	dallutjis
demografia	demografija
demografiaj	demografijaj
demografian	demografijan
demografiav	demografijav
demokrahtalasj	demokráhtalasj
demokráta	demokráhta
diakrona	diakåvnnå
didalasj	dijdalasj
diggodit	digguhit
diggodit	digguhit
dij dastallamijn	dijdastallamijn
dij másj	dijmásj
dilmmá	dilmma
doajmmajt	dåjmajt
doarroajvve	doarrooajvve
doarroojvve	doarrooajvve
dudagá	duvdagá
dugátja	duogátja
duodjevidnudagájt	duodjeviddnudagájt
duogñasbiktasij	duogŋasbiktasij
duohkaj	duohkáj
dutammáhtto	dutkammahtto
dutkamdepartemænnda	dutkamdepartemænnta
dutkámráde	dutkamráde
dádjadahtesvuoha	dádjadahtesvuohta
dáhkam	dahkam
dáhká	dahká
dáhká	dahká
dájadusá	dádjadusá
dájddavidnudagá	dájddaviddnudagá
dájddáduojev	dájddaduojev
dájddávuosádus	dájddavuosádus
dákkáraha	dákkára
dálkkádagá	dálkádagá
dálkkádakrievddadibmáj	dálkádakrievddadibmáj
dálkkádakrievddamij	dálkádakrievddamij
dálkkádakrievddamijt	dálkádakrievddamijt
dálvvamárnánij	dálvvemárnánij
dálvvehávskkudahka	dálvvehávsskudahka
dálvvemánánijt	dálvvemárnánijt
dálvvevuojñastibmáj	dálvvevuojŋastibmáj
dálvvvemárnánijda	dálvvemárnánijda
dárkastiddjit	dárkastiddjijt
dähkágá	dähkága
dåbddisá	dåbddisa
dåbddisá	dåbddisa
dåbddosin	dåbddusin
dåbddosin	dåbddusin
dåjmmaplánas	dåjmapládnas
dålkkum-åhpadadusáv	dålkkumåhpadusáv
dållå-saje	dållåsaje
dåmåjdam	dåjmadam
dåppelis	dåbbelis
dåssijt	dåssjijt
ededis	idedis
ednambarggominisstar	ednambarggoministar
ednambarggominisstarijn	ednambarggoministarijn
ednamnäjgát	ednamäjgát
eksamen	eksábma
ertaljpptsa	ertaljupptsa
ertaljpptsa	ertaljupptsa
evalurerimav	evaluerimav
fiettarbåvså	fiehtarbåvså
fáhkabiras	fáhkabirás
fáladagájn	fálaldagájn
fállagi	fállagij
faññga-goahtáj	faŋŋgagoahtáj
gabas	gabás
gajk	gájk
gajkkudáhtji	gajkudahtji
galsoaŋga	galsåŋga
garisvándoj	garisvándogij
garrastuhtetuvvam	garrastuhteduvvam
garráp	garrap
garññelijn	garŋŋelijn
gaskala	gasskala
gaskkaj	gasskaj
gaskkaj	gasskaj
gasskanordlánda	Gasska-Nordlánda
gatjálvisaj	gatjálvisáj
gavnnu	gávnnu
gehtjasvaden	gehtjas vaden
gehtjás	gehtjas
geñgas	geŋgas
giejvidit	giejvijdit
gielabargov	giellabargov
giella-guovlov	giellaguovlov
giellabánkav	giellabáŋkav
gielldagis	gieldagis
giergavmánná	gierkavmánná
gierisábnnásijt	gierisábnnasijt
giesej	giesij
gihtta	gitta
ginndalav	ginntalav
girjebaktu	girje baktu
gista	gistá
gitjit	gitjijt
glássadájdáv	glássadájdav
goaivo	goajvo
goarssumis	goarssomis
guhtimus	guhtimusj
gujtti	guojtti
gulaj	guláj
gullunagá	gulunagá
guojmestiská	guojmestiska
guojmmásiská	guojmmásiska
guoktálattek	guoktálattak
guolledievvavadnasav	guolle dievva vadnasav
guovkkis	guovggis
guovtejagak	guovtejagák
gurgidij	gurgijdij
gáddevuolen	gáttevuolen
gáhttunijda	gahttunijda
gáhttunijn	gahttunijn
gájkáj	gájkkaj
gájkájt	gájkajt
gájt	gájda
gálbbe-nahk-båvsåjt	gálbenákbåvsåjt
gálggå	gålggå
gámádit	gámadit
gárgadisvássta	gárgadisvásta
gárggádisájt	gárgadisájt
gárvvi	gárvet
gárvvij	gárvedij
gátjadin	gatjádin
gátját	gatját
gäññgul	gäŋŋgul
gåbdidij	gåbdijdij
gåbdidin	gåbdijdin
gåbdidit	gåbdijdit
gåbdit	gåbdijt
gåhttjojma	gåhtjojma
gåjlmmå	gålmmå
gålgidahtij	gålgijdahtij
gålgidam	gålgijdam
gålgidij	gålgijdij
gæssaj	gæssáj
gæsstá	gæssta
hapsit	happsit
hiebadumvuogij	hiebadimvuogij
hilidam	hilijdam
hoalla	hoallá
humanististalasj	humanistalasj
hábmemin	hábbmimin
hábmidam	hábbmidam
hábmidahttijn	hábbmidahttijn
hábmidum	hábbmidum
hábmiduvvam	hábbmiduvvam
hábmiduvvá	hábbmiduvvá
hábmima	hábbmima
hájida	hájijda
hálidav	hálijdav
hálidij	hálijdij
hálidin	hálijdin
hálit	hálijt
hárraj	hárráj
hásstálussan	hásstalussan
hávddadusá	hávddádusá
hærra	hærrá
híjtajt	hijtajt
ibmeda	ibmáda
identehta	identitehta
iehjtasisá	iehtjasisá
iehkeva	ihkeva
iehkeva	ihkeva
iehtjádamuv	iehtjáda muv
iemeálmmugvijddudagá	iemeálmmukvijddudagá
iemeálmmukaktisasajbargov	iemeálmmukaktisasjbargov
iemeálmmukgirjálasvuoda	iemeálmmukgirjálasjvuoda
ienngisa	ieŋŋgisa
ienŋilsgiellaj	ieŋŋilsgiellaj
iesguhtiklágásj	iesjguhtiklágásj
iesjarádálattjat	iesjrádálattjat
ietja-sa	ietjasa
ietjan	ietján
ietjastiská	ietjastiska
ietjsa	ietjasa
ieŋilsgielaj	ieŋŋilsgielaj
ieŋilsgiellaj	ieŋŋilsgiellaj
ieŋŋgel	ieŋŋgil
inarmasstá	inármasstá
irges	irkes
irgev	irggev
irássuoddjim-minisstar	Birássuoddjimministar
ittjijj	ittjij
jabagát	ja bagát
jahkedahtte	jáhkedahtte
jahkegirjji	jahkegirjje
jahkkevasj	jáhkkevasj
jahkká	jáhkká
jahkása	jáhkasa
jahtålijma	jåhtålijma
jargidit	jårgijdit
jarnñamin	jarŋŋamin
jarña	jarŋa
jarñan	jarŋan
jarñav	jarŋav
jarñña	jarŋŋa
jarññá	jarŋŋá
javkkat	jávkkat
javllágassagielajn	javllá gassa gielajn
javre	jávre
javrijn	jávrijn
javrráj	jávrráj
javvlá	javllá
jiegña	jiegŋa
jiegñan	jiegŋan
jiegñarabadan	jiegŋarabdan
jiegñáj	jiegŋaj
jieg∫a-instrumentaj	jiegŋainstrumentaj
jieg∫a-musijkka	jiegŋamusijkka
jieña	jieŋa
jieñaj	jieŋaj
jieñajn	jieŋajn
jieñajs	jieŋajs
jieñan	jieŋan
jieñav	jieŋav
jieñeldiddje	jieŋeldiddje
jie∫a	jieŋa
jinnsa	jinsa
joarge	joarkke
joargget	joarkket
ju	ja
jubmedievnastusá	jubmeldievnastusá
juht	juhti
juolggamáná	juolggimáná
juonin	juonen
juoñgalágásj	juoŋgalágásj
jusska	juska
jábbmegijdisá	jábbmegijdesa
jábbmemij	jábmemij
jágŋat	jagŋat
jáhkkogahtes	jáhkogahtes
jámigus	jámigusj
jávllamis	javllamis
jávllat	javllat
jávllá	javllá
jådunij	jådånij
jåhtemja	jåhtem ja
jåhttåj in	jåhttåjin
jålbbås	jålbås
jåppelm	jåppål
jårgidam	jårgijdam
jårgidi	jårgijdij
jårgidij	jårgijdij
jårgidime	jårgijdime
jårgit	jårgijt
jåvsådijjga	jåvsådijga
kilometer	kilomehter
konjunksjåvvå	konjunksjåvnnå
kultuvrradiehtto	kultuvrradiehto
kurssaplánájn	kurssaplánajn
káffav	káfav
käjsar	tjäjssár
labudattjin	labudahtjin
lahkkev	lahkke
lahpa	lahpá
lahttot	lahtot
lamájuosik	lamá juosik
lasstanit	lastanit
lasárähttaj	lasarähttaj
lea	le
legenanakta	lågenanakta
lehkit	liehkit
lerdugamus	lerdugamos	
lerret	lerrit
lihtter	lihter
lissjav	lissjáv
lujujda	lulujda
lulestussaj	lulesdussaj
luojt...	luojtte
luojttálit	luojttalit
luorkit	luorkijt
lábllomis	lávllomis
ládjo	lájdo
láhkalasj	lágalasj
láhkanatjáj	lahkanatjáj
láhkusijn	lahkusijn
láhtaga	láttaga
láhtagijt	láttagijt
lájkkudallat	lájkudallat
lájttalisát	lájttálisát
lánnga	láŋŋga
lásstit	lasstit
lávijiská	lávijiska
låbbdusit	låbddusit
låbbtusit	låpptusit
lågenanguokti	lågenanguokta
låggñi	låggŋi
låggñim	låggŋim
låggñoba	lågŋoba
låssat	låssåt
måj åt	måjåt
låvdågådij	låvdagådij
låvvå	Jåvvå
låñoj	låŋoj
låŋidij	låŋijdij
länskaj	lenskaj
länskas	lenskas
länskav	lenskav
mahttelis	máhttelis
mahttelisvuodav	máhttelisvuodav
mahtti	máhtti
majtik	majdik
makedonia	Makedonia
makkar	makkár
makset	mákset
mangegasskabiejve	maŋŋegasskabiejve
mangel	maŋŋel
mangela	maŋŋela
mangemus	maŋemus
mangemusájgijt	maŋemus ájgijt
mangenagi	maŋenagi
marnánij	márnánij
mañel	maŋŋel
mañelt	maŋelt
mañemus	maŋemus
mañemusán	maŋemusán
mañen	maŋen
mañen	maŋen
mañep	maŋep
mañep	maŋep
mañij	maŋij
mañus	maŋus
maññegietjen	maŋŋegietjen
maññegietjes	maŋŋegietjes
maññegietjev	maŋŋegietjev
maññegähtjáj	maŋŋegähtjáj
maññeiehkeda	maŋŋeiehkeda
maññeiehket	maŋŋeiehket
maññel	maŋŋel
maññela	maŋŋela
maññela	maŋŋela
maññelin	maŋŋelin
maññet	maŋŋet
maññetjaktjagiese	maŋŋetjaktjagiese
maññihav	maŋŋihav
maññáj	maŋŋáj
maññásis	maŋŋásis
maŋemusboahtte	maŋŋemus boahtte
ma∫∫ela	maŋŋela
ma∫∫et	maŋŋet
merredimfábmogisvuohta	mierredimfábmogisvuohta
merustaladum	merustaládum
miehtjep	miehtsep	
miehttjen	miehtsen
mihttjamára	mihttsamára
miliåvna	milijåvnå
miliåvnå	milijåvnå
milja	mijla
mourra	muorra
muite	mujte
muorjjeda	muorjeda
murkodam	murkkodam
murkodit	murkkodit
murkudij	murkkodij
mákkir	makkir	!SUB
mána	máná
mánnáv	mánáv
mánnáv	mánáv
mánájrámmát	mánájrámát
másjijna	masjijna
må	mån
måjasta	måj asta
målsos	målssos
måttijlåhku	måttijlåhko
nagajma	nagájma
nagerbadde	nagerbádde
nagin	nágin
nalkidam	nalkijdam
nanit	nanijt
nannudáhkaj	nannudahkaj	
nejtsutj	nejtsusj
nielggelmutjijda	nielggeulmutjijda
nielljes	nieljes
nison	nissun
njahkahit	njahkkahit
njalmijn	njálmijn
njieljejuolgak	nieljejuolgak
njunes	njunjes
njubrre-biessev	nuobrrebiesse
njuovtav	njuovtjav
njurggádit	njurgádit
njátsudit	njátsodit
njäbllot	njäblot
njålggåv	njålgåv
njålgit	njålgijt
nubbaj	nubbáj
nuppebälláj	nuppe bälláj
náhkebiktasijt	náhkkebiktasijt
náhkárij	nahkárij
násjonálalasj	nasjonálalasj
närrot	närot
oahpadit	åhpadit
oajedit	bajedit
oajvvadinrievtesvuohta	oajvvadimrievtesvuohta
oappa	oabbá
oarjjel	oarjjel-
oarjjel,-	oarjjel-,
oasesá	oases
oattju	oattjo
organisásjåvnåjt	organisasjåvnåjt
pergamenttagiessasijt	pergamænntagiessasijt
poesiajn	poesijajn
poetalasj	poehtalasj
poltihkkára	politihkkára
postel	apostel
pressadiedádusán	præssadiedádusán
pretoriaj	Pretoriaj
pánnajt	pánajt
rassjodij	rássjodij
ravdojt	rávdojt
relevanta	relevánnta
responsav	respånsåv
riegadit	riegádit
riektesferduk	rievtesferduk
rievddádusdábijt	rievddadusdábijt
rievddádusá	rievddadusá
rievteslahkáj	rievtesláhkáj
rijkajgasskasas	rijkajgasskasasj
rijkkalasj	rijkalasj
risjidij	risjijdij
risjidimes	risjijdimes
rissjodit	risjodit
ristalasj	risstalasj
ristalasjvuodav	risstalasjvuodav
ristatäjgáda	ristaäjgáda
roankok	roaŋkok
roma	Roma
ruhtadilli	ruhtadille
ruhttsuhit	ruhtsuhit
ruittaj	rujttaj
ruoddná	ruodná
ruosskidáládijn	ruosskidaládijn
ràdevadde	rádevadde
rádjnánisvuohta	rádjánisvuohta
rájnnán	rájnna
rámmpodi	rámpodi
råggñot	råggŋot
råñet	råŋet
räjna-suoládim-sága	räjnnasuoládimsága
sahkat	sáhkat
samaria	Samaria
san	sån
sarnnet	sárnnet
sassnekonfeksjåvnnå-linjav	sassnekonfeksjåvnnålinjáv
satta	sjatta
siejvvim	sæjvvám
sierradussaj	sieradussaj
siesstevas	siesstevasj
sija	sijá
sijdda-vädjav	sijddavedjav
sihta	sihtá
silbbabastiin	silbbabastijn
silddá	silldá
Siradiddjen	Sirádiddjen
sissñelis	sissŋelis
sjaddojt	sjattojt
sjavo	sjávo
sjievnnet	sjievnnjet
sjåvvá	sjoavvá
sjávunihtit	sjávvunihtit
sjäbttjásabmusá	sjäbttjásabmusa
sjærggalij	sjærggolij
skadne	skádne
skanev	skánev
skihpijsujtár	skihppijsujtár
skánjgidam	skánjgijdam
sluogñam	sluogŋam
sluoñaj	sluoŋaj
sláddu	sláddo
soademim	oademin
soaggodahttjá	soaggodahtjá
soaj	såj
soajddá	soajttá
sosiálistalasj	sosialistalasj
spalkkot	spálkkot
spánnjoj	spánjoj
stalpe	stálpe
stuormuottágis	stuormuohttagis
stuorrás	stuores
stásjåvnnåj	stasjåvnnåj
subtsasij	subtsastij
suddorumaj	suddorumáj
suddorumaj	suddorumáj
sunjija	sunji ja
suodji	suoddji
suodji	suoddjiji
suoggñoajvven	Suoggŋooajvven
suoggñon	suoggŋon
suogñam	suogŋam
suogñá	suogŋá
suohkaoajvve	suohkanoajvve
suohtat	suohtas
Sverigin	Svierigin
synogogas	synagogas
synkrona	synkråvnnå
syrak	syriak
sádjim	sáddjim
sájvvá	sájvva
sálltesiltájt	sálltesildájt
sámasta	sámásta
sámegelav	sámegielav
sámeminisstar	sámeministar
sámepoltijka	sámepolitijka
sárnneålmmá	sárnneålmmå
sárrnáj	sárnnáj
sárves	sarves
sávtssa	sávttsa
sáñart	sáŋart
såhkåra	såhkkåra
sægodimkategoria	sægodimkategorija
teahter	teáhter
teahterdáhpádus	teáhterdáhpádus
teknologia	teknologija
telegraffa	telegráffa
tenijkav	teknijkav
teoriaj	teorijaj
tiemmpel	tiempel
tjanadum	tjanádum
tierádij	tjierádij
tjaññgasit	tjaŋŋgasit
